baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000018849.6	589.038494040709	3.6734554507648	0.177777311368496	20.6632411216438	7.42120019788739e-95	3.58175981773037e-92
ENSMUSG00000031297.14	450.832612613341	3.86920828127779	0.189341732993373	20.4350526432184	8.16047045741054e-93	3.83211281614887e-90
ENSMUSG00000019866.15	920.032353192822	2.94453739474728	0.144366719817543	20.3962339690803	1.80600520228146e-92	8.2577211551685e-90
ENSMUSG00000038295.14	351.701159664347	5.42264677227353	0.266183382376761	20.371845619567	2.97261243886155e-92	1.3243369519287e-89
ENSMUSG00000022346.16	2712.88862837223	2.51202781746629	0.123321092619883	20.3698147989104	3.09847450682616e-92	1.34589986390261e-89
ENSMUSG00000024331.11	410.248479010501	5.78420707568045	0.284537898440366	20.3284241128698	7.20804837679703e-92	3.0546302572402e-89
ENSMUSG00000043439.5	371.928352473804	5.07040857212979	0.251580052336597	20.1542551765826	2.46947062976842e-90	1.02159648076729e-87
ENSMUSG00000022218.16	655.076730861327	8.14756718669458	0.409180501102378	19.9119145823032	3.2081707994283e-88	1.29632482883876e-85
ENSMUSG00000038807.19	627.154370827226	2.92748055952785	0.148205962238538	19.752785348919	7.5913235367506e-87	2.99771014661458e-84
ENSMUSG00000048373.8	495.166639532177	7.3586802519905	0.376653955136377	19.5369785758021	5.32420629678835e-85	2.05573520903772e-82
ENSMUSG00000115388.2	343.936503057522	6.3404257199092	0.329291806156462	19.2547327366432	1.28837751084143e-82	4.86642592410215e-80
ENSMUSG00000022665.15	8751.42668903433	-1.62772409599119	0.0848994778478971	-19.1723687501042	6.29749650261699e-82	2.32806386665894e-79
ENSMUSG00000074272.10	293.826553090548	5.14340560437939	0.269177783047282	19.1078384930302	2.17284246013273e-81	7.86523703016794e-79
ENSMUSG00000022865.14	567.442582906092	3.59466157349128	0.188197795809372	19.1004446042097	2.50346315864866e-81	8.87707599622865e-79
ENSMUSG00000035557.9	3172.43856568382	11.8355062363507	0.622233148045024	19.021015311602	1.14249536369139e-80	3.9701713888276e-78
ENSMUSG00000063727.3	922.473357756585	-2.39568374773478	0.126493055048245	-18.9392512246704	5.41618853116851e-80	1.84522109272653e-77
ENSMUSG00000022123.9	310.231657164846	4.60786187818361	0.246947710108489	18.6592614127067	1.06188764492409e-77	3.54813419818385e-75
ENSMUSG00000018166.8	390.885305060043	7.02254100345658	0.376424263075727	18.6559201738912	1.13039333432537e-77	3.70577060073648e-75
